T,L
7.870457896950984832e+03,6.606934480075960892e+01
4.920395356814510706e+03,6.918309709189365719e+01
4.943106869868353897e+03,6.165950018614822170e+01
4.988844874600121329e+03,5.623413251903490817e+01
9.036494737223014454e+03,3.235936569296282528e+01
7.396052750582382032e+03,2.454708915685029780e+01
7.464487584100668755e+03,2.089296130854039646e+01
7.943282347242813557e+03,1.862087136662867692e+01
7.943282347242813557e+03,1.862087136662867692e+01
7.943282347242813557e+03,1.862087136662867692e+01
8.035261221856168959e+03,1.862087136662867692e+01
8.035261221856168959e+03,1.862087136662867692e+01
8.035261221856168959e+03,1.862087136662867692e+01
7.533555637337170083e+03,1.479108388168207178e+01
7.328245331389044622e+03,1.047128548050899610e+01
7.328245331389044622e+03,1.047128548050899610e+01
7.328245331389044622e+03,1.047128548050899610e+01
7.328245331389044622e+03,9.772372209558106704e+00
6.982324040771711225e+03,8.912509381337454073e+00
6.982324040771711225e+03,8.912509381337454073e+00
6.982324040771711225e+03,8.912509381337454073e+00
7.211074791828998059e+03,8.709635899560804972e+00
7.079457843841380964e+03,8.317637711026710789e+00
7.079457843841380964e+03,8.317637711026710789e+00
7.079457843841380964e+03,8.317637711026710789e+00
6.982324040771711225e+03,7.762471166286917246e+00
6.982324040771711225e+03,7.762471166286917246e+00
6.982324040771711225e+03,7.762471166286917246e+00
6.982324040771711225e+03,6.606934480075959293e+00
6.870684400142324193e+03,5.888436553555889574e+00
6.309573444801930236e+03,5.248074602497725394e+00
6.591738952443212838e+03,4.570881896148750734e+00
6.441692655151775398e+03,3.801893963205611460e+00
6.081350012787176638e+03,3.630780547701013994e+00
6.546361740672747146e+03,3.467368504525316641e+00
5.984115950603199053e+03,2.818382931264453717e+00
5.984115950603199053e+03,2.818382931264453717e+00
5.984115950603199053e+03,2.818382931264453717e+00
6.353309318517435713e+03,2.630267991895381741e+00
6.397348354826482137e+03,2.511886431509580131e+00
5.984115950603199053e+03,2.570395782768863491e+00
5.984115950603199053e+03,2.570395782768863491e+00
5.984115950603199053e+03,2.570395782768863491e+00
6.180164001384157928e+03,2.398832919019490362e+00
6.053408747539136129e+03,1.698243652461744357e+00
6.053408747539136129e+03,1.621810097358930003e+00
5.623413251903491073e+03,1.584893192461113598e+00
5.623413251903491073e+03,1.584893192461113598e+00
5.623413251903491073e+03,1.584893192461113598e+00
5.861381645140284490e+03,1.445439770745927444e+00
6.053408747539136129e+03,1.230268770812381618e+00
5.861381645140284490e+03,1.230268770812381618e+00
5.834451042737448006e+03,1.174897554939529520e+00
6.870684400142324193e+03,1.047128548050899610e+00
5.767664633922508983e+03,1.096478196143185091e+00
5.767664633922508983e+03,9.772372209558106704e-01
5.741164622073274586e+03,9.772372209558106704e-01
5.688529308438412954e+03,9.332543007969910098e-01
5.370317963702526868e+03,8.128305161640992926e-01
5.508076964054035670e+03,7.079457843841379105e-01
5.176068319505676300e+03,7.244359600749900041e-01
5.445026528424214121e+03,5.888436553555889130e-01
5.597576014951104298e+03,5.754399373371569260e-01
5.176068319505676300e+03,4.897788193684461944e-01
6.309573444801930236e+03,4.168693834703354195e-01
5.069907082747044115e+03,5.011872336272722439e-01
5.199959965335162451e+03,4.786300923226383119e-01
4.909078761526028757e+03,5.011872336272722439e-01
5.176068319505676300e+03,4.466835921509631491e-01
5.140436515824259004e+03,4.265795188015926720e-01
5.093308710571952361e+03,4.265795188015926720e-01
5.140436515824259004e+03,3.311311214825911065e-01
5.069907082747044115e+03,3.311311214825911065e-01
4.931738039549359200e+03,3.090295432513590623e-01
6.982324040771711225e+03,2.041737944669529681e-01
5.714786366718672070e+03,2.187761623949552314e-01
4.988844874600121329e+03,2.570395782768863935e-01
4.613175745603795804e+03,2.344228815319921999e-01
4.487453899331322646e+03,2.454708915685030468e-01
4.487453899331322646e+03,2.454708915685030468e-01
4.487453899331322646e+03,2.454708915685030468e-01
5.741164622073274586e+03,1.348962882591653589e-01
4.677351412871980756e+03,1.698243652461744191e-01
4.355118736855683892e+03,2.041737944669529681e-01
4.355118736855683892e+03,2.041737944669529681e-01
4.355118736855683892e+03,2.041737944669529681e-01
4.197589839910077899e+03,1.995262314968879735e-01
4.487453899331322646e+03,1.548816618912481069e-01
4.487453899331322646e+03,1.548816618912481069e-01
4.487453899331322646e+03,1.548816618912481069e-01
4.036453929676048574e+03,2.290867652767772933e-01
3.990249023621420747e+03,2.041737944669529681e-01
4.375221051582520886e+03,1.380384264602884936e-01
4.375221051582520886e+03,1.380384264602884936e-01
4.375221051582520886e+03,1.380384264602884936e-01
4.064433291652127537e+03,1.548816618912481069e-01
5.199959965335162451e+03,7.585775750291835762e-02
4.236429660495408825e+03,1.174897554939529354e-01
4.045758916974428757e+03,1.380384264602884936e-01
5.248074602497727938e+03,6.760829753919818386e-02
5.223961889991197495e+03,5.495408738576245539e-02
4.045758916974428757e+03,8.912509381337455072e-02
3.881503659906482426e+03,1.071519305237606523e-01
3.810658233937730074e+03,1.122018454301963591e-01
5.176068319505676300e+03,3.715352290971726118e-02
2.065380155810529232e+03,4.168693834703353751e+00
3.732501577957206337e+03,9.332543007969909543e-02
3.784425847170931775e+03,8.511380382023762958e-02
3.706807217825759835e+03,8.317637711026708291e-02
4.560369159512959413e+03,3.235936569296282705e-02
3.664375746478333440e+03,8.709635899560805306e-02
3.664375746478333440e+03,8.511380382023762958e-02
4.149540426343628496e+03,3.801893963205612431e-02
4.149540426343628496e+03,3.801893963205612431e-02
4.149540426343628496e+03,3.801893963205612431e-02
3.926449353995997171e+03,4.677351412871981473e-02
3.706807217825759835e+03,6.606934480075961347e-02
3.664375746478333440e+03,6.760829753919818386e-02
3.614098626396131294e+03,6.606934480075961347e-02
3.548133892335752989e+03,6.025595860743578058e-02
3.758374042884443043e+03,3.981071705534973415e-02
3.006076302628232042e+03,1.584893192461113431e-01
3.523708710424872606e+03,5.011872336272722023e-02
1.640589773199538740e+03,4.073802778041127226e+00
4.446312674691088432e+03,1.096478196143185063e-02
4.415704473533125565e+03,1.047128548050899575e-02
4.655860935229590723e+03,8.912509381337458889e-03
3.069021988391158175e+03,7.943282347242813790e-02
6.934258060165694587e+03,3.981071705534973415e-03
3.404081897010009016e+03,2.754228703338166065e-02
3.597493351557423466e+03,1.862087136662867598e-02
1.188502227437018882e+04,6.309573444801930275e-03
1.023292992280753606e+04,4.265795188015925922e-03
4.613175745603795804e+03,4.786300923226385375e-03
4.168693834703354696e+03,6.456542290346555836e-03
4.168693834703354696e+03,6.456542290346555836e-03
4.168693834703354696e+03,6.456542290346555836e-03
3.881503659906482426e+03,8.912509381337458889e-03
1.000000000000000000e+04,3.715352290971724036e-03
3.427677865464504521e+03,1.659586907437560557e-02
4.466835921509630680e+03,3.801893963205612691e-03
1.135010815672315402e+03,1.148153621496882870e+01
3.273406948788383033e+03,1.949844599758045541e-02
3.273406948788383033e+03,1.778279410038922925e-02
3.854783576657716822e+03,5.495408738576248141e-03
3.451437393358561167e+03,1.122018454301963557e-02
3.404081897010009016e+03,1.122018454301963557e-02
3.427677865464504521e+03,1.071519305237606488e-02
3.523708710424872606e+03,8.511380382023767469e-03
4.168693834703354696e+03,2.884031503126605490e-03
4.168693834703354696e+03,2.884031503126605490e-03
4.168693834703354696e+03,2.884031503126605490e-03
4.375221051582520886e+03,2.398832919019489897e-03
4.677351412871980756e+03,1.949844599758045584e-03
3.357376142429545325e+03,9.332543007969915094e-03
3.908408957924021252e+03,3.388441561392023862e-03
5.011872336272725079e+03,1.513561248436208744e-03
5.284452517751802588e+03,1.348962882591653182e-03
3.881503659906482426e+03,3.388441561392023862e-03
4.045758916974428757e+03,2.691534803926916557e-03
4.045758916974428757e+03,2.691534803926916557e-03
4.045758916974428757e+03,2.691534803926916557e-03
2.722701308077912927e+03,3.981071705534973415e-02
4.216965034285822185e+03,2.187761623949552054e-03
3.318944575526103108e+03,8.709635899560804612e-03
4.954501908047900542e+03,1.288249551693133660e-03
3.250872973854343854e+03,8.912509381337458889e-03
3.427677865464504521e+03,5.888436553555889859e-03
4.852885001621209994e+03,1.148153621496882885e-03
4.634469197362879640e+03,1.258925411794167490e-03
3.854783576657716822e+03,2.570395782768864542e-03
3.523708710424872606e+03,4.365158322401660983e-03
6.531305526474723138e+02,1.023292992280753566e+02
4.149540426343628496e+03,1.548816618912481112e-03
4.149540426343628496e+03,1.548816618912481112e-03
4.149540426343628496e+03,1.548816618912481112e-03
1.158777356155126199e+03,3.801893963205611460e+00
3.228494121712634751e+03,6.606934480075957357e-03
3.548133892335752989e+03,3.235936569296281144e-03
9.462371613657929856e+02,1.071519305237606545e+01
2.917427014001165844e+03,1.348962882591653312e-02
6.053408747539136129e+03,6.025595860743574632e-04
5.861381645140284490e+03,5.888436553555889425e-04
3.162277660168379498e+03,6.456542290346555836e-03
2.992264636608188994e+03,9.772372209558111839e-03
2.728977782808040502e+03,1.949844599758045541e-02
3.296097121774575953e+03,4.570881896148752156e-03
6.053408747539136129e+03,5.128613839913648362e-04
3.758374042884443043e+03,1.737800828749376265e-03
3.318944575526103108e+03,3.388441561392023862e-03
8.871560120379608634e+02,1.047128548050899610e+01
3.318944575526103108e+03,2.691534803926916557e-03
4.149540426343628496e+03,5.128613839913648362e-04
2.437810818368752280e+03,2.041737944669529473e-02
2.437810818368752280e+03,2.041737944669529473e-02
2.576321157002575546e+03,1.202264434617413176e-02
2.660725059798808616e+03,9.332543007969915094e-03
3.926449353995997171e+03,3.890451449942804976e-04
3.926449353995997171e+03,3.890451449942804976e-04
3.926449353995997171e+03,3.890451449942804976e-04
3.854783576657716822e+03,2.630267991895381412e-04
3.854783576657716822e+03,2.630267991895381412e-04
3.854783576657716822e+03,2.630267991895381412e-04
3.228494121712634751e+03,7.079457843841380172e-04
3.013006024186121977e+03,9.772372209558110971e-04
4.375221051582520886e+03,8.511380382023759500e-05
7.943282347242813557e+03,3.467368504525316757e-05
